"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","state","zip"
"0692841","ZCTA5 92841","B01001_001",33754,1319,33754,1319,"06","92841"
"0692843","ZCTA5 92843","B01001_001",46873,1729,46873,1729,"06","92843"
"0692844","ZCTA5 92844","B01001_001",23189,899,23189,899,"06","92844"
"0692845","ZCTA5 92845","B01001_001",16273,642,16273,642,"06","92845"
"0692860","ZCTA5 92860","B01001_001",26849,195,26849,195,"06","92860"
"0692861","ZCTA5 92861","B01001_001",5822,66,5822,66,"06","92861"
"0692865","ZCTA5 92865","B01001_001",20664,840,20664,840,"06","92865"
"0692866","ZCTA5 92866","B01001_001",15574,848,15574,848,"06","92866"
"0692867","ZCTA5 92867","B01001_001",44655,1341,44655,1341,"06","92867"
"0692868","ZCTA5 92868","B01001_001",27072,1439,27072,1439,"06","92868"
"0692869","ZCTA5 92869","B01001_001",36846,1203,36846,1203,"06","92869"
"0692870","ZCTA5 92870","B01001_001",53600,347,53600,347,"06","92870"
"0692879","ZCTA5 92879","B01001_001",47872,1564,47872,1564,"06","92879"
"0692880","ZCTA5 92880","B01001_001",69656,2072,69656,2072,"06","92880"
"0692881","ZCTA5 92881","B01001_001",33531,1400,33531,1400,"06","92881"
"0692882","ZCTA5 92882","B01001_001",73250,1690,73250,1690,"06","92882"
"0692883","ZCTA5 92883","B01001_001",35933,1401,35933,1401,"06","92883"
"0692886","ZCTA5 92886","B01001_001",50784,681,50784,681,"06","92886"
"0692887","ZCTA5 92887","B01001_001",20012,687,20012,687,"06","92887"
"0693001","ZCTA5 93001","B01001_001",32396,1293,32396,1293,"06","93001"
"0693003","ZCTA5 93003","B01001_001",51629,939,51629,939,"06","93003"
"0693004","ZCTA5 93004","B01001_001",31525,1122,31525,1122,"06","93004"
"0693010","ZCTA5 93010","B01001_001",46063,909,46063,909,"06","93010"
"0693012","ZCTA5 93012","B01001_001",36052,1051,36052,1051,"06","93012"
"0693013","ZCTA5 93013","B01001_001",16652,584,16652,584,"06","93013"
"0693015","ZCTA5 93015","B01001_001",17989,598,17989,598,"06","93015"
"0693021","ZCTA5 93021","B01001_001",38581,594,38581,594,"06","93021"
"0693022","ZCTA5 93022","B01001_001",7179,592,7179,592,"06","93022"
"0693023","ZCTA5 93023","B01001_001",19895,1129,19895,1129,"06","93023"
"0693030","ZCTA5 93030","B01001_001",58422,1685,58422,1685,"06","93030"
"0693033","ZCTA5 93033","B01001_001",84701,1701,84701,1701,"06","93033"
"0693035","ZCTA5 93035","B01001_001",29354,1055,29354,1055,"06","93035"
"0693036","ZCTA5 93036","B01001_001",48162,1490,48162,1490,"06","93036"
"0693040","ZCTA5 93040","B01001_001",1827,274,1827,274,"06","93040"
"0693041","ZCTA5 93041","B01001_001",24208,277,24208,277,"06","93041"
"0693042","ZCTA5 93042","B01001_001",118,40,118,40,"06","93042"
"0693043","ZCTA5 93043","B01001_001",144,150,144,150,"06","93043"
"0693060","ZCTA5 93060","B01001_001",33773,517,33773,517,"06","93060"
"0693063","ZCTA5 93063","B01001_001",56458,1097,56458,1097,"06","93063"
"0693064","ZCTA5 93064","B01001_001",0,12,0,12,"06","93064"
"0693065","ZCTA5 93065","B01001_001",71832,1134,71832,1134,"06","93065"
"0693066","ZCTA5 93066","B01001_001",3220,423,3220,423,"06","93066"
"0693067","ZCTA5 93067","B01001_001",410,214,410,214,"06","93067"
"0693101","ZCTA5 93101","B01001_001",31371,1341,31371,1341,"06","93101"
"0693103","ZCTA5 93103","B01001_001",20538,1104,20538,1104,"06","93103"
"0693105","ZCTA5 93105","B01001_001",28545,1354,28545,1354,"06","93105"
"0693108","ZCTA5 93108","B01001_001",10401,697,10401,697,"06","93108"
"0693109","ZCTA5 93109","B01001_001",10771,918,10771,918,"06","93109"
"0693110","ZCTA5 93110","B01001_001",16849,969,16849,969,"06","93110"
"0693111","ZCTA5 93111","B01001_001",17329,930,17329,930,"06","93111"
"0693117","ZCTA5 93117","B01001_001",58546,1016,58546,1016,"06","93117"
"0693201","ZCTA5 93201","B01001_001",1580,308,1580,308,"06","93201"
"0693202","ZCTA5 93202","B01001_001",4273,577,4273,577,"06","93202"
"0693203","ZCTA5 93203","B01001_001",22662,323,22662,323,"06","93203"
"0693204","ZCTA5 93204","B01001_001",12961,20,12961,20,"06","93204"
"0693205","ZCTA5 93205","B01001_001",2030,699,2030,699,"06","93205"
"0693206","ZCTA5 93206","B01001_001",1704,379,1704,379,"06","93206"
"0693207","ZCTA5 93207","B01001_001",256,120,256,120,"06","93207"
"0693208","ZCTA5 93208","B01001_001",106,110,106,110,"06","93208"
"0693210","ZCTA5 93210","B01001_001",18336,370,18336,370,"06","93210"
"0693212","ZCTA5 93212","B01001_001",23357,481,23357,481,"06","93212"
"0693215","ZCTA5 93215","B01001_001",54958,840,54958,840,"06","93215"
"0693218","ZCTA5 93218","B01001_001",871,268,871,268,"06","93218"
"0693219","ZCTA5 93219","B01001_001",10285,769,10285,769,"06","93219"
"0693220","ZCTA5 93220","B01001_001",65,102,65,102,"06","93220"
"0693221","ZCTA5 93221","B01001_001",14129,560,14129,560,"06","93221"
"0693222","ZCTA5 93222","B01001_001",1583,372,1583,372,"06","93222"
"0693223","ZCTA5 93223","B01001_001",10716,27,10716,27,"06","93223"
"0693224","ZCTA5 93224","B01001_001",471,115,471,115,"06","93224"
"0693225","ZCTA5 93225","B01001_001",4782,593,4782,593,"06","93225"
"0693226","ZCTA5 93226","B01001_001",121,55,121,55,"06","93226"
"0693230","ZCTA5 93230","B01001_001",67605,824,67605,824,"06","93230"
"0693234","ZCTA5 93234","B01001_001",7355,182,7355,182,"06","93234"
"0693235","ZCTA5 93235","B01001_001",4215,772,4215,772,"06","93235"
"0693238","ZCTA5 93238","B01001_001",673,310,673,310,"06","93238"
"0693239","ZCTA5 93239","B01001_001",1246,394,1246,394,"06","93239"
