"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","raceName"
"06107","Tulare County, California","B03002_004",5785,375,461898,NA,"Black"
"06107","Tulare County, California","B03002_005",2784,347,461898,NA,"American Indian/Alaska Native"
"06107","Tulare County, California","B03002_006",14949,635,461898,NA,"Asian"
"06107","Tulare County, California","B03002_007",624,85,461898,NA,"Native Hawaiian/Pacific Islander"
"06107","Tulare County, California","B03002_008",1002,684,461898,NA,"Other"
"06107","Tulare County, California","B03002_009",6793,819,461898,NA,"Multi-Race"
"06107","Tulare County, California","B03002_012",298245,NA,461898,NA,"Latino"
"06109","Tuolumne County, California","B03002_003",43341,47,54045,NA,"White"
"06109","Tuolumne County, California","B03002_004",948,106,54045,NA,"Black"
"06109","Tuolumne County, California","B03002_005",763,195,54045,NA,"American Indian/Alaska Native"
"06109","Tuolumne County, California","B03002_006",732,104,54045,NA,"Asian"
"06109","Tuolumne County, California","B03002_007",123,33,54045,NA,"Native Hawaiian/Pacific Islander"
"06109","Tuolumne County, California","B03002_008",42,42,54045,NA,"Other"
"06109","Tuolumne County, California","B03002_009",1479,268,54045,NA,"Multi-Race"
"06109","Tuolumne County, California","B03002_012",6617,NA,54045,NA,"Latino"
"06111","Ventura County, California","B03002_003",384818,308,847263,NA,"White"
"06111","Ventura County, California","B03002_004",14297,500,847263,NA,"Black"
"06111","Ventura County, California","B03002_005",2017,337,847263,NA,"American Indian/Alaska Native"
"06111","Ventura County, California","B03002_006",60710,992,847263,NA,"Asian"
"06111","Ventura County, California","B03002_007",1421,217,847263,NA,"Native Hawaiian/Pacific Islander"
"06111","Ventura County, California","B03002_008",1138,328,847263,NA,"Other"
"06111","Ventura County, California","B03002_009",21261,1189,847263,NA,"Multi-Race"
"06111","Ventura County, California","B03002_012",361601,NA,847263,NA,"Latino"
"06113","Yolo County, California","B03002_003",101452,164,217352,NA,"White"
"06113","Yolo County, California","B03002_004",5279,442,217352,NA,"Black"
"06113","Yolo County, California","B03002_005",663,225,217352,NA,"American Indian/Alaska Native"
"06113","Yolo County, California","B03002_006",30155,818,217352,NA,"Asian"
"06113","Yolo County, California","B03002_007",883,183,217352,NA,"Native Hawaiian/Pacific Islander"
"06113","Yolo County, California","B03002_008",362,176,217352,NA,"Other"
"06113","Yolo County, California","B03002_009",9854,1030,217352,NA,"Multi-Race"
"06113","Yolo County, California","B03002_012",68704,NA,217352,NA,"Latino"
"06115","Yuba County, California","B03002_003",42145,52,76360,NA,"White"
"06115","Yuba County, California","B03002_004",2554,320,76360,NA,"Black"
"06115","Yuba County, California","B03002_005",594,182,76360,NA,"American Indian/Alaska Native"
"06115","Yuba County, California","B03002_006",5075,301,76360,NA,"Asian"
"06115","Yuba County, California","B03002_007",296,37,76360,NA,"Native Hawaiian/Pacific Islander"
"06115","Yuba County, California","B03002_008",136,125,76360,NA,"Other"
"06115","Yuba County, California","B03002_009",3997,501,76360,NA,"Multi-Race"
"06115","Yuba County, California","B03002_012",21563,NA,76360,NA,"Latino"
